Transaction_ID,Timestamp,Sender_Name,Sender_UPI_ID,Receiver_Name,Receiver_UPI_ID,Amount_INR,Status,is_fraud
bc3ef13e-f13a-41f9-8a3c-f33e971b5ab9,2023-05-18 07:00:00,User 841,user841@bank,User 715,user715@bank,626.55,SUCCESS,0
7803c7da-29df-4337-a415-8709a07d82d4,2023-07-14 02:00:00,User 997,user997@bank,User 848,user848@bank,1086.2,SUCCESS,0
fd13fd2e-5898-4ee0-bd0f-3e3ef23437b5,2024-02-01 09:00:00,User 125,user125@bank,User 1966,user1966@bank,1331.95,SUCCESS,0
79cba582-c9df-4ddc-8a1b-2931cff55b9b,2023-06-03 05:00:00,User 1797,user1797@bank,User 670,user670@bank,1253.31,SUCCESS,0
692033de-ab62-43fd-ab32-bb93f56bf8a9,2024-11-26 06:00:00,User 453,user453@bank,User 359,user359@bank,802.76,SUCCESS,0
8ffb42c5-9d78-49c8-920f-c02cd6aa763e,2023-01-18 22:00:00,User 142,user142@bank,User 241,user241@bank,1271.2,SUCCESS,0
e5fc18e9-32e5-40a6-b700-b8b184297d0f,2025-02-28 13:00:00,User 964,user964@bank,User 1007,user1007@bank,1421.55,SUCCESS,0
414e36ca-8364-47cd-b970-100422a9e20f,2023-12-13 19:00:00,User 424,user424@bank,User 199,user199@bank,1872.33,SUCCESS,0
59c62c5e-9854-4f2d-98fa-f15dba6def64,2023-06-29 07:00:00,User 916,user916@bank,User 1405,user1405@bank,1567.7,SUCCESS,0
05270a60-b5c4-424b-ae66-f2fdee6492a4,2023-07-13 08:00:00,User 1570,user1570@bank,User 1700,user1700@bank,1015.19,SUCCESS,0
3ab5b459-c75b-4736-bf5b-d1260f461d46,2024-08-11 18:00:00,User 1728,user1728@bank,User 481,user481@bank,1822.69,SUCCESS,0
595ba37f-4178-4a49-b4db-417b14579198,2023-03-22 20:00:00,User 1398,user1398@bank,User 1284,user1284@bank,892.76,SUCCESS,0
b4919e0f-1e43-40ec-b41b-ff8074ee0010,2023-11-07 02:00:00,User 1019,user1019@bank,User 171,user171@bank,1865.23,SUCCESS,0
d08a70dd-cc3c-46cb-aee8-bcb258de1a90,2024-06-18 06:00:00,User 1849,user1849@bank,User 1007,user1007@bank,615.88,SUCCESS,0
802c84a7-a1d8-47d0-b576-1f5c2b31f4d6,2024-04-09 01:00:00,User 1284,user1284@bank,User 1924,user1924@bank,1455.87,SUCCESS,0
6ba032be-14f2-4eef-b435-3ebd42f30db3,2023-04-03 15:00:00,User 1132,user1132@bank,User 246,user246@bank,1671.22,SUCCESS,0
5a9f5f44-cdd0-4198-a3c6-c625c1b3dcbe,2023-07-13 16:00:00,User 1235,user1235@bank,User 1453,user1453@bank,1401.37,SUCCESS,0
