UPI_ID,sent_mean,sent_median,sent_std,received_mean,received_median,received_std,account_age_days,historical_tx_frequency,inflow_spike_ratio,fund_dispersal_velocity_seconds,is_suspicious
user0@bank,1120.362,1249.21,406.3500507690383,1156.1614285714286,1042.305,679.1985799665451,746.2083333333334,0.020074722578486588,1.3835265206805418,2548800,0
user1000@bank,965.9011111111109,871.93,455.4173122380298,1070.6675,1174.8449999999998,543.6251860866339,772.9895833333334,0.011628063469846439,1.2896440759716306,-5759100,1
user1001@bank,1610.9207692307693,1478.26,1093.690781265143,1152.146,1311.99,534.054910875277,772.5770833333333,0.016805047977873352,0.20077316572658913,-3415860,1
user1002@bank,1250.7322222222222,1473.05,693.287777635986,1206.98625,1273.03,654.2431225892689,774.2083333333334,0.011609782316581564,0.5604786296774478,1670400,0
user1003@bank,1223.568,1015.89,612.1794520563394,980.8924999999999,927.725,711.8857344815482,689.4583333333334,0.007241566592239454,1.0838496562224205,-9378000,0
user1004@bank,985.0528571428571,899.18,505.1166624887854,778.94375,601.9350000000001,755.6556312413649,773.125,0.009042467301792347,1.3202236986685834,-22550400,0
user1005@bank,1048.3653333333334,1034.5,513.0023418195876,921.0166666666667,815.92,471.65250115948714,791.1652777777778,0.01893544241433904,1.922994514840852,-18975480,1
user1006@bank,1008.895,1114.65,728.774431485262,1398.8049583333334,1407.8899999999999,616.6531914791202,749.4583333333334,0.02132030425850869,1.1251032458092431,1879200,1
user1007@bank,921.7836363636362,945.88,549.6462006649864,1307.8,1398.355,434.4219578492073,698.5,0.015725518227305217,1.0093368354094454,7531200,0
user1008@bank,1050.3210000000001,985.55,592.4042098366808,1312.6963636363637,1458.12,446.06773125328687,651.5416666666666,0.015324691909839731,0.17988165912641305,-15375600,0
user1009@bank,1131.111,1295.0349999999999,637.9303363647512,1126.72,1188.145,613.701568446982,655.0833333333334,0.015241966213641558,1.0193925722278891,10684800,0
user100@bank,765.6299999999999,518.0,510.38088880476596,1068.698888888889,1237.85,677.626883292798,792.9166666666666,0.018893670620342185,0.4059682123072036,-8560800,1
user1010@bank,944.050909090909,868.18,565.1208601786798,667.6233333333333,608.485,405.89041174517376,752.6666666666666,0.0145953118089341,1.6198055765679167,655200,0
user1011@bank,983.6572727272727,1063.04,484.6530675873395,1184.8157142857142,1051.74,529.5375280014673,685.4166666666666,0.01602525191210392,1.2639011963467124,-1738800,0
user1012@bank,1073.5500000000002,864.73,536.2683737178616,754.3128571428572,830.73,398.6891711059417,775.7083333333334,0.01158736119306904,1.101306959084967,-19591200,0
user1013@bank,734.94625,583.06,471.2858625062015,1137.7707142857143,1272.835,723.5428254665137,783.1479166666667,0.010202156799710939,1.3774567924315408,-959580,1
user1014@bank,1063.7383333333335,999.955,635.8341955377608,1327.9311111111112,1397.28,489.11282411230144,727.25,0.016477857878475798,1.026295707337842,3474000,0
user1015@bank,1086.8254545454545,1204.14,696.3883627310789,1117.907,1329.12,563.7828453708435,707.25,0.015531238969290505,1.5854181058125423,-234000,0
user1016@bank,795.110909090909,792.31,556.2397012521589,887.2566666666667,945.01,640.8772781118082,727.4166666666666,0.01510124699691111,1.5957501944994306,-752400,0
user1017@bank,446.28000000000003,324.03499999999997,391.62940885485096,839.4984615384615,603.34,619.6550163443924,724.5,0.008270158511371467,1.125419205101853,-5392800,0
user1018@bank,1265.851,1533.0700000000002,759.5909213875877,700.4207142857142,676.025,300.9731557276849,778.2319444444445,0.012833149450937265,0.9093106273137525,-9380040,1
user1019@bank,1292.3326666666667,1033.39,1147.423548038117,1516.801,1361.94,881.0072281510772,790.2395833333334,0.018957595544965046,0.8744917752068387,480,1
user101@bank,967.6016666666666,1043.115,559.9364966401967,926.802,666.91,546.1069309169729,733.4583333333334,0.01633857150961593,2.0890222484532592,2728800,0
user1020@bank,1216.53,1389.91,536.2592069605892,903.86625,941.77,511.1013620446815,759.3333333333334,0.01183691363437089,1.95298806438122,1803600,0
user1021@bank,1296.143,1184.865,541.6558196257513,900.69,1007.115,491.0626776140237,755.4166666666666,0.013220226947229262,0.08442416360298864,-6606000,0
user1022@bank,851.9281818181818,838.29,642.5813507069464,1057.9633333333334,1172.365,633.841391064568,775.8972222222222,0.014158887025668346,0.9145118442215906,-3004320,1
user1023@bank,882.6171428571428,764.24,487.4225870745797,1150.4514285714286,1039.42,540.8024279231918,751.125,0.00930696360312448,1.4111851732887093,-2232000,0
